date,product,price,quantity
2012-12-04 15:55:34,optima-rtc42,158,1
2012-12-13 11:56:01,optima-yts55,205,2
2012-12-20 16:59:42,optima-yts55,215,1
2012-12-20 17:00:37,optima-yts55,215,1
2012-12-20 17:00:40,optima-yts55,215,1
2012-12-20 17:12:54,optima-yts55,215,1
2012-12-29 11:27:56,optima-rtc42,168,1
2013-01-02 20:49:44,optima-rtc42,154,1
2013-01-03 18:35:13,optima-rtc42,154,2
2013-01-07 12:39:20,optima-rtc42,164,1
2013-01-07 15:58:58,optima-yts55,265,1
2013-01-07 17:30:10,optima-rtc42,164,1
2013-01-12 08:54:14,optima-rtc42,164,1
2013-01-12 11:02:23,optima-rtc42,164,1
2013-01-14 14:44:36,optima-rtc42,164,1
2013-01-15 09:36:26,optima-rtc42,164,1
2013-01-24 16:07:16,optima-rtc42,164.9,1
2013-01-28 13:04:17,optima-rtc42,164.9,1
2013-01-30 10:13:04,optima-rtc42,164.9,1
2013-02-04 13:32:24,optima-rtc42,164.9,1
2013-02-04 13:36:11,optima-sli42,170,1
2013-02-04 17:17:45,optima-rtc42,159.95,2
2013-02-04 17:17:45,optima-rts21,138.70,1
2013-02-04 18:57:04,optima-rtc42,164.9,1
2013-02-11 11:29:44,optima-yts42,199,1
2013-02-11 15:27:51,optima-rtc42,164.9,1
2013-02-11 15:48:25,optima-rtc42,164.9,1
2013-02-11 21:37:15,optima-rtc42,164.9,1
2013-02-12 11:08:24,optima-rtc42,164.9,1
2013-02-13 14:41:26,optima-rtc42,164.9,1
2013-02-14 17:02:43,optima-rtc42,164.9,1
2013-02-17 10:36:41,optima-rtc42,164.9,1
2013-02-18 11:11:24,optima-rtc42,164.9,1
2013-02-18 19:16:32,optima-rtc42,164.9,1
2013-02-19 11:36:28,optima-btdc55,254,1
2013-02-20 10:08:37,optima-rtc42,164.9,1
2013-02-23 15:31:53,optima-rtc42,164.9,1
2013-02-25 13:42:51,optima-rtc42,164.9,1
2013-02-25 19:53:54,optima-rtc42,164.9,1
2013-02-27 16:28:07,optima-rtc42,164.9,1
2013-03-01 08:50:04,optima-rtr42,172.00,1
2013-03-01 08:52:50,optima-rtc42,164.90,1
2013-03-01 08:56:33,optima-rtc42,164.9,1
2013-03-04 11:32:18,optima-rtr42,172,2
2013-03-04 21:46:03,optima-yts55,239,1
2013-03-05 09:58:01,optima-yts55,239,1
2013-03-05 11:23:48,optima-rtc42,164.9,1
2013-03-05 11:53:54,optima-rtc42,158.30,2
2013-03-05 11:53:54,optima-btdc55,244,6
2013-03-06 13:29:57,optima-rts42,172,1
2013-03-08 17:03:03,optima-rts21,143,1
2013-03-10 16:32:00,optima-yts55,239,1
2013-03-13 11:57:31,optima-rtr42,172,1
2013-03-13 16:55:02,optima-rtc42,164.9,1
2013-03-13 18:04:38,optima-rtc42,164.9,1
2013-03-13 18:37:04,optima-yts55,239,1
2013-03-14 10:42:11,optima-yts55,239,1
2013-03-14 15:05:35,optima-rtc42,164.9,1
2013-03-14 17:58:14,optima-rtc42,164.9,1
2013-03-15 16:44:26,optima-yts2.7j,175,1
2013-03-17 17:33:49,optima-yts55,239,1
2013-03-18 10:48:25,optima-rtc42,164.9,1
2013-03-18 12:46:25,optima-yts42,192.75,3
2013-03-18 12:46:25,optima-btdc42,192.75,1
2013-03-18 16:14:51,optima-yts55,239,1
2013-03-20 12:06:25,optima-rtc42,164.9,1
2013-03-20 13:56:18,optima-rtc42,164.9,1
2013-03-20 14:05:05,optima-rtc42,164.9,1
2013-03-21 16:28:32,optima-rtc42,165.0,1
2013-03-22 11:07:53,optima-rtc42,164.9,1
